antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'netbackup_applicance', 'netbackup'})",frozenset({'backupexec'}),0.06773,0.32761,0.050882,0.7512476007677543,2.2931155971055652,0.028692974699999995,2.7030493055555556
"frozenset({'netbackup_applicance', 'backupexec'})",frozenset({'netbackup'}),0.070897,0.278123,0.050882,0.7176890418494435,2.58047353814479,0.031163913668999996,2.5570279125156126
"frozenset({'alta', 'ediscovery'})",frozenset({'backupexec'}),0.089516,0.32761,0.052594,0.5875374234773673,1.7934050348810087,0.02326766324,1.630184259790911
"frozenset({'ediscovery', 'backupexec'})",frozenset({'alta'}),0.091186,0.303041,0.052594,0.5767771368411818,1.9032973651789091,0.024960903374,1.6467895774771975
frozenset({'netbackup'}),frozenset({'backupexec'}),0.278123,0.32761,0.138824,0.49914606127504735,1.5235983678002727,0.04770812397,1.342487196390498
frozenset({'ediscovery'}),frozenset({'backupexec'}),0.203653,0.32761,0.091186,0.4477518131331235,1.366722057120123,0.02446724067,1.2175503985168985
"frozenset({'alta', 'backupexec'})",frozenset({'ediscovery'}),0.119379,0.203653,0.052594,0.44056324814247066,2.163303502243869,0.028282108513,1.4234799507823612
frozenset({'ediscovery'}),frozenset({'alta'}),0.203653,0.303041,0.089516,0.43955159020490736,1.4504690461188663,0.027800791227,1.2435738737394535
frozenset({'backupexec'}),frozenset({'netbackup'}),0.32761,0.278123,0.138824,0.42374774884771527,1.5235983678002727,0.04770812397,1.252710073681311
frozenset({'datainsight'}),frozenset({'alta'}),0.228684,0.303041,0.091498,0.4001066974515051,1.3203054948060002,0.022197371955999995,1.1618049360430363
frozenset({'alta'}),frozenset({'backupexec'}),0.303041,0.32761,0.119379,0.3939367940311707,1.2024565612501776,0.02009973798999999,1.1094387406758066
frozenset({'datainsight'}),frozenset({'netbackup'}),0.228684,0.278123,0.089585,0.3917414423396477,1.4085186854005158,0.025982719867999993,1.1867930025952738
frozenset({'vault'}),frozenset({'backupexec'}),0.179114,0.32761,0.067861,0.37887044005493714,1.1564678735537288,0.009181462460000005,1.0825277741723822
frozenset({'vault'}),frozenset({'alta'}),0.179114,0.303041,0.066611,0.3718916444275713,1.2271991064825263,0.012332114326000003,1.1096158709189978
frozenset({'merge1'}),frozenset({'alta'}),0.253414,0.303041,0.093163,0.3676316225622894,1.2131415305595261,0.016368168025999996,1.1021408167562137
"frozenset({'netbackup', 'backupexec'})",frozenset({'netbackup_applicance'}),0.138824,0.227642,0.050882,0.3665216389096986,1.6100791545922921,0.019279826991999996,1.219233437856769
frozenset({'backupexec'}),frozenset({'alta'}),0.32761,0.303041,0.119379,0.36439363877781505,1.2024565612501776,0.02009973798999999,1.096526155999827
frozenset({'vault'}),frozenset({'netbackup'}),0.179114,0.278123,0.064749,0.36149603046104717,1.2997703550624982,0.014933276978000003,1.1305755867441962
frozenset({'netbackup'}),frozenset({'datainsight'}),0.278123,0.228684,0.089585,0.3221056870521316,1.408518685400516,0.025982719867999993,1.137811581049974
frozenset({'alta'}),frozenset({'merge1'}),0.303041,0.253414,0.093163,0.30742704782521174,1.2131415305595261,0.016368168025999996,1.0779889651416537
frozenset({'infoscale'}),frozenset({'alta'}),0.228593,0.303041,0.069819,0.3054293001098022,1.007881112159088,0.000545948687000003,1.0034385270069408
frozenset({'alta'}),frozenset({'datainsight'}),0.303041,0.228684,0.091498,0.30193274177421536,1.3203054948060002,0.022197371955999995,1.104930779822542
frozenset({'infoscale'}),frozenset({'netbackup'}),0.228593,0.278123,0.068039,0.29764253498576076,1.0701831023890895,0.004462029061000003,1.027791453722735
frozenset({'netbackup_applicance'}),frozenset({'netbackup'}),0.227642,0.278123,0.06773,0.2975285755704132,1.0697733577245074,0.004417524033999989,1.0276247188078442
frozenset({'alta'}),frozenset({'ediscovery'}),0.303041,0.203653,0.089516,0.29539237264924545,1.450469046118866,0.027800791227,1.1301992330031612
frozenset({'infoscale'}),frozenset({'merge1'}),0.228593,0.253414,0.066329,0.29016199096210293,1.145011684287778,0.008400333498000005,1.0517695452965536
frozenset({'netbackup_applicance'}),frozenset({'merge1'}),0.227642,0.253414,0.066045,0.29012660229658854,1.1448720366538099,0.008357330212000011,1.0517171123968885
frozenset({'infoscale'}),frozenset({'datainsight'}),0.228593,0.228684,0.065017,0.2844225326234837,1.243736040227929,0.012741438388000008,1.0778930795960289
frozenset({'datainsight'}),frozenset({'infoscale'}),0.228684,0.228593,0.065017,0.28430935264382295,1.243736040227929,0.012741438388000008,1.0778497704974124
frozenset({'netbackup_applicance'}),frozenset({'infoscale'}),0.227642,0.228593,0.06463,0.2839107018915666,1.241992107770433,0.012592632294000004,1.0772497257502514
frozenset({'infoscale'}),frozenset({'netbackup_applicance'}),0.228593,0.227642,0.06463,0.28272956739707694,1.241992107770433,0.012592632294000004,1.0768016704622383
frozenset({'backupexec'}),frozenset({'ediscovery'}),0.32761,0.203653,0.091186,0.2783370470986844,1.3667220571201228,0.02446724067,1.1034888195360877
frozenset({'merge1'}),frozenset({'infoscale'}),0.253414,0.228593,0.066329,0.26174165594639603,1.145011684287778,0.008400333498000005,1.0449011598898896
frozenset({'merge1'}),frozenset({'netbackup_applicance'}),0.253414,0.227642,0.066045,0.26062096016794656,1.1448720366538097,0.008357330212000011,1.0446035908394666
frozenset({'ediscovery'}),"frozenset({'alta', 'backupexec'})",0.203653,0.119379,0.052594,0.25825300879437085,2.163303502243869,0.028282108513,1.18722557750945
frozenset({'netbackup'}),frozenset({'infoscale'}),0.278123,0.228593,0.068039,0.2446363659244291,1.0701831023890895,0.004462029061000003,1.0212392617286417
frozenset({'netbackup'}),frozenset({'netbackup_applicance'}),0.278123,0.227642,0.06773,0.24352534669912232,1.0697733577245074,0.004417524033999989,1.0209965352174264
frozenset({'netbackup'}),frozenset({'vault'}),0.278123,0.179114,0.064749,0.2328070673766643,1.2997703550624982,0.014933276978000003,1.0699863946778894
frozenset({'alta'}),frozenset({'infoscale'}),0.303041,0.228593,0.069819,0.23039456707178238,1.007881112159088,0.000545948687000003,1.0023408970294398
frozenset({'netbackup_applicance'}),"frozenset({'netbackup', 'backupexec'})",0.227642,0.138824,0.050882,0.22351762855712037,1.6100791545922921,0.019279826991999996,1.1090734724598323
frozenset({'alta'}),frozenset({'vault'}),0.303041,0.179114,0.066611,0.21980854075851122,1.2271991064825263,0.012332114326000003,1.0521596850061328
frozenset({'backupexec'}),frozenset({'vault'}),0.32761,0.179114,0.067861,0.20713958670370258,1.1564678735537288,0.009181462460000005,1.0353474410296093
frozenset({'netbackup'}),"frozenset({'netbackup_applicance', 'backupexec'})",0.278123,0.070897,0.050882,0.18294783243385118,2.58047353814479,0.031163913668999996,1.1371403649385454
frozenset({'alta'}),"frozenset({'ediscovery', 'backupexec'})",0.303041,0.091186,0.052594,0.173554073541204,1.903297365178909,0.024960903374,1.0996654117398093
frozenset({'backupexec'}),"frozenset({'alta', 'ediscovery'})",0.32761,0.089516,0.052594,0.16053844510240836,1.7934050348810087,0.02326766324,1.084604762050208
frozenset({'backupexec'}),"frozenset({'netbackup_applicance', 'netbackup'})",0.32761,0.06773,0.050882,0.15531271939195992,2.2931155971055652,0.028692974699999995,1.103686561171981
